Time (Seconds),r_shoulder_top_x,r_shoulder_top_y,r_shoulder_top_z,r_elbow_out_x,r_elbow_out_y,r_elbow_out_z,r_wrist_out_x,r_wrist_out_y,r_wrist_out_z
0.6,-864.9328,1408.908691,-733.292603,-906.786133,1047.253418,-877.104187,-1041.599731,916.150513,-877.684082
0.608,-869.846924,1408.520996,-729.31134,-911.697998,1047.782959,-874.699768,-1047.249512,915.853516,-873.580688
0.617,-874.718567,1407.895996,-725.394836,-918.372192,1047.028076,-869.60907,-1052.726929,915.397827,-869.190796
0.625,-879.43219,1407.428467,-721.156006,-922.993713,1047.47522,-867.009216,-1058.207764,914.864136,-864.678467
0.633,-884.272949,1407.013794,-717.158081,-927.843262,1047.50354,-863.523193,-1063.39917,914.332764,-860.05304
0.642,-889.130432,1406.469238,-712.839417,-933.587402,1047.088135,-859.24292,-1068.638794,913.688232,-855.141418
0.65,-893.869629,1406.32666,-709.134888,-939.106262,1046.745239,-854.845886,-1073.80835,912.797668,-849.987549
0.658,-898.449768,1405.944946,-705.194519,-944.576233,1046.321167,-850.333191,-1078.936523,912.122131,-844.721558
0.667,-903.156128,1405.559937,-701.105103,-950.168335,1045.812012,-845.728088,-1083.796753,911.263,-839.387695
0.675,-907.93512,1405.115234,-696.9021,-955.574036,1045.289062,-840.974243,-1088.629639,910.423218,-833.684448
0.683,-912.662781,1404.987183,-692.752747,-960.949036,1044.879517,-836.083191,-1093.486572,909.62323,-827.780518
0.692,-917.162231,1404.80188,-688.621033,-966.189697,1044.477905,-831.043457,-1098.044434,908.838196,-821.864441
0.7,-921.670593,1404.726196,-684.425659,-971.306885,1044.151978,-825.840637,-1102.63855,908.099121,-815.476379
0.708,-926.091614,1404.809326,-680.195557,-976.412903,1043.856812,-820.609314,-1107.015015,907.375793,-808.884583
0.717,-930.508118,1404.925659,-675.998596,-981.401855,1043.728516,-815.209045,-1111.230469,906.763184,-802.164551
0.725,-934.640015,1405.085205,-671.733948,-986.220581,1043.575806,-809.605286,-1115.513916,906.216431,-795.089417
0.733,-938.794312,1405.315063,-667.482056,-991.034485,1043.453857,-804.024841,-1119.608887,905.736267,-787.963318
0.742,-942.835754,1405.627319,-663.316223,-995.686829,1043.312866,-798.25061,-1123.598633,905.208008,-780.606567
0.75,-946.824036,1405.788818,-658.984558,-1000.336182,1043.062866,-792.516052,-1127.447998,904.591187,-773.049866
0.758,-950.639709,1405.925171,-654.405823,-1004.863953,1042.775269,-786.6427,-1131.18042,903.947327,-765.266968
0.767,-954.507935,1406.00647,-649.912109,-1009.459961,1042.531982,-780.802246,-1134.886841,903.192261,-757.293884
0.775,-958.269287,1405.987671,-645.411926,-1013.853699,1042.009155,-774.763367,-1138.483032,902.329651,-749.05835
0.783,-961.87207,1405.86499,-640.408997,-1018.364563,1041.543945,-768.764282,-1141.987549,901.379028,-740.722412
0.792,-965.457336,1405.647827,-635.586853,-1022.788635,1040.987671,-762.628052,-1145.341309,900.439636,-732.145142
0.8,-968.943237,1405.392944,-630.619019,-1027.113159,1040.353149,-756.372192,-1148.654053,899.399109,-723.49176
0.808,-972.408569,1405.064087,-625.670532,-1031.689819,1039.598877,-750.146667,-1151.950928,898.307251,-714.596985
0.817,-975.513916,1404.677368,-620.808228,-1036.070312,1038.669312,-743.765869,-1155.082397,897.191528,-705.521912
0.825,-978.800598,1404.270264,-615.704346,-1040.392456,1037.883423,-737.229187,-1158.168091,896.074768,-696.24469
0.833,-981.682434,1403.793823,-610.139221,-1044.845337,1037.021118,-730.504639,-1161.132446,895.038086,-686.747131
0.842,-984.377319,1403.291748,-604.828613,-1049.02771,1036.289917,-723.69342,-1163.984497,894.001099,-677.195801
0.85,-986.806519,1402.769653,-599.132446,-1053.278564,1035.506836,-716.726501,-1166.744019,893.172058,-667.390442
0.858,-989.495789,1402.276733,-593.554749,-1057.362305,1034.736572,-709.588806,-1169.385742,892.322754,-657.44458
0.867,-991.58728,1401.945923,-587.953186,-1061.318481,1034.044434,-702.370483,-1171.859863,891.479492,-647.394409
0.875,-993.856445,1401.480469,-582.332825,-1065.219849,1033.239136,-694.966675,-1174.207153,890.735901,-637.274353
0.883,-995.623169,1401.13623,-576.652771,-1068.931641,1032.624512,-687.49231,-1176.39624,890.28479,-627.052307
0.892,-997.57489,1400.798828,-570.982056,-1072.458252,1032.058105,-679.895447,-1178.419678,889.716614,-616.512695
0.9,-999.160645,1400.609497,-565.080017,-1075.837158,1031.401855,-672.060913,-1180.132202,889.215698,-606.26532
0.908,-1000.777832,1400.287476,-559.624146,-1078.9823,1030.859009,-664.188965,-1181.81958,888.606384,-595.838745
0.917,-1002.019165,1400.006592,-553.390442,-1082.03772,1030.42749,-656.32489,-1183.12854,888.296753,-585.526001
0.925,-1003.252136,1399.977295,-547.800537,-1084.788818,1029.885376,-648.261841,-1184.292725,887.878113,-574.974426
0.933,-1004.47168,1399.776123,-541.50769,-1087.483154,1029.56604,-640.310303,-1185.305664,887.554138,-564.538025
0.942,-1005.368713,1399.83606,-535.769409,-1089.914673,1029.157349,-632.117676,-1186.025391,887.384338,-554.198669
0.95,-1006.078003,1399.55603,-529.424622,-1092.310181,1028.870605,-624.019775,-1186.591187,887.17688,-543.870056
0.958,-1006.814331,1399.524902,-523.482422,-1094.478882,1028.671021,-615.793335,-1187.008911,886.975525,-533.41394
0.967,-1007.3172,1399.518311,-517.130432,-1096.5448,1028.448242,-607.566711,-1187.177856,886.564026,-523.340027
0.975,-1007.635498,1399.380249,-511.117645,-1098.446533,1028.236572,-599.265503,-1187.217041,886.427551,-512.948181
0.983,-1007.788635,1399.287842,-504.707458,-1100.327881,1028.083984,-591.036011,-1187.169312,886.389954,-502.539825
0.992,-1007.738098,1399.34021,-498.560425,-1101.969238,1027.940674,-582.717712,-1186.90625,886.368896,-492.207886
1,-1007.597656,1399.13562,-492.362274,-1103.50354,1027.772339,-574.432007,-1186.496826,886.359131,-481.973236
1.008,-1007.299805,1399.209473,-486.176208,-1104.800293,1027.660767,-566.059387,-1185.853882,886.438782,-471.687042
1.017,-1006.955139,1399.151855,-480.230377,-1106.109741,1027.582886,-557.739624,-1185.123047,886.400879,-461.569489
1.025,-1006.329529,1399.190918,-473.759827,-1107.064697,1027.494751,-549.37561,-1184.533325,886.485535,-450.994781
1.033,-1005.5177,1399.217407,-467.836365,-1107.944946,1027.288574,-541.004089,-1183.509766,886.465515,-440.93222
1.042,-1004.671082,1399.0271,-461.344482,-1108.52832,1027.151733,-532.690796,-1181.915527,886.21106,-430.938568
1.05,-1003.363159,1398.400146,-457.050079,-1109.030518,1026.930908,-524.284912,-1180.453125,886.027893,-421.040833
1.058,-1002.120483,1398.306152,-450.117371,-1109.302734,1026.720215,-515.940125,-1179.023438,886.186401,-411.075928
1.067,-1000.580811,1397.823853,-444.375977,-1109.305542,1026.485474,-507.630341,-1177.188232,886.239685,-401.497192
1.075,-998.94104,1397.471313,-437.404816,-1109.196289,1026.093994,-499.279968,-1175.098755,886.176514,-391.716461
1.083,-997.091003,1397.019409,-431.17218,-1108.82312,1025.71167,-490.970856,-1172.952148,886.039673,-381.99231
1.092,-995.166565,1396.519043,-424.81778,-1108.370361,1025.370361,-482.794342,-1170.770752,885.644287,-372.474335
1.1,-992.969849,1395.974854,-418.591797,-1107.566895,1024.837524,-474.651093,-1167.982666,886.119995,-362.707703
1.108,-990.578247,1395.406128,-412.384857,-1106.5625,1024.390259,-466.504181,-1165.011719,886.038391,-353.021545
