Format Version,1.23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,S_Hip,S_Hip,S_Hip,S_wrist,S_wrist,S_wrist,S_Shoulder,S_Shoulder,S_Shoulder,S_Elbow,S_Elbow,S_Elbow,S_Chest,S_Chest,S_Chest
,ID,222E1178988311EF7E5C15E596CCCE90,222E1178988311EF7E5C15E596CCCE90,222E1178988311EF7E5C15E596CCCE90,2947748F988311EF7E5C15E596CCCE90,2947748F988311EF7E5C15E596CCCE90,2947748F988311EF7E5C15E596CCCE90,35A7A6F9988311EF7E5C15E596CCCE90,35A7A6F9988311EF7E5C15E596CCCE90,35A7A6F9988311EF7E5C15E596CCCE90,35A7A7EA988311EF7E5C15E596CCCE90,35A7A7EA988311EF7E5C15E596CCCE90,35A7A7EA988311EF7E5C15E596CCCE90,4370B3AF988311EF7E5C15E596CCCE90,4370B3AF988311EF7E5C15E596CCCE90,4370B3AF988311EF7E5C15E596CCCE90
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
96,0.8,65.585976,991.786499,348.921997,89.066299,975.16217,401.588531,56.078114,1466.505005,338.976227,67.69622,1186.883423,353.110809,-157.009857,1365.272827,462.534912
97,0.808,65.585976,991.786499,348.921997,90.586113,975.550964,401.468079,56.901016,1466.89502,339.338623,67.69622,1186.883423,353.110809,-156.17041,1365.677368,463.209137
98,0.817,65.585976,991.786499,348.921997,92.275154,975.78125,401.414276,57.624432,1467.268188,339.821014,67.69622,1186.883423,353.110809,-155.325302,1366.068359,463.845825
99,0.825,65.585976,991.786499,348.921997,93.915627,975.920593,401.606415,58.564957,1467.617432,340.225189,67.69622,1186.883423,353.110809,-154.224991,1366.372559,464.476349
100,0.833,65.585976,991.786499,348.921997,95.656242,976.134155,401.966736,59.493027,1467.813354,340.850311,67.69622,1186.883423,353.110809,-153.315063,1366.513794,465.154633
101,0.842,65.585976,991.786499,348.921997,97.967407,976.165161,401.475861,60.690483,1467.978638,341.641052,67.69622,1186.883423,353.110809,-152.538864,1366.66333,465.929871
102,0.85,65.585976,991.786499,348.921997,99.713669,976.114075,402.070984,61.958088,1468.018677,342.456329,67.69622,1186.883423,353.110809,-151.35907,1366.683472,466.507721
103,0.858,65.585976,991.786499,348.921997,101.666229,975.996948,402.337219,63.23407,1467.912476,343.334778,67.69622,1186.883423,353.110809,-150.221329,1366.590698,467.017242
104,0.867,65.585976,991.786499,348.921997,103.969696,975.726807,402.13266,64.592514,1467.635864,344.198639,67.69622,1186.883423,353.110809,-149.100021,1366.598877,467.625671
105,0.875,65.585976,991.786499,348.921997,105.984283,975.443298,402.521088,66.321396,1467.74646,345.200928,67.69622,1186.883423,353.110809,-147.878555,1366.405273,468.027191
106,0.883,65.585976,991.786499,348.921997,108.123062,975.584167,402.836792,67.707664,1467.424316,346.18573,67.69622,1186.883423,353.110809,-146.638672,1366.310791,468.530548
107,0.892,65.585976,991.786499,348.921997,110.11721,975.479492,403.452637,69.420914,1467.480957,347.086243,67.69622,1186.883423,353.110809,-145.389786,1366.206421,468.916412
108,0.9,65.585976,991.786499,348.921997,112.092331,975.306396,403.967316,71.191391,1467.270996,347.927094,67.69622,1186.883423,353.110809,-143.97142,1365.968506,469.208405
