1.23,,,,,,,,,
,,,,,,,,,
Type,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker,Bone Marker
Name,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LShoulderTop,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LElbowOut,Sammy:LWristOut,Sammy:LWristOut,Sammy:LWristOut
ID,10,10,10,12,12,12,15,15,15
,Position,Position,Position,Position,Position,Position,Position,Position,Position
Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0.825,197.987518,1414.280151,-54.168163,284.051147,1110.797607,-138.18103,292.849121,887.978149,-28.233616
0.833,197.965057,1414.252075,-54.136246,284.006714,1110.80542,-138.259171,292.826813,887.953064,-28.339443
0.842,197.947952,1414.229492,-54.092606,283.971497,1110.810303,-138.331024,292.795929,887.942993,-28.47398
0.85,197.923782,1414.20752,-54.059853,283.929199,1110.81897,-138.400986,292.764893,887.905518,-28.602779
0.858,197.908997,1414.18335,-54.044453,283.880188,1110.823486,-138.492416,292.741394,887.875305,-28.72823
0.867,197.891754,1414.151978,-54.028614,283.842651,1110.822876,-138.58371,292.723633,887.844543,-28.858604
0.875,197.873474,1414.139526,-54.001461,283.809662,1110.830688,-138.641388,292.721222,887.837036,-28.976093
0.883,197.861053,1414.129395,-53.993504,283.783966,1110.84668,-138.719604,292.716858,887.827271,-29.090746
0.892,197.843063,1414.119751,-53.976742,283.762848,1110.855957,-138.794617,292.721771,887.8172,-29.188791
0.9,197.830017,1414.098999,-53.975918,283.730865,1110.855347,-138.857346,292.742462,887.835632,-29.304014
0.908,197.818466,1414.091431,-53.975376,283.705994,1110.852417,-138.936707,292.762848,887.832031,-29.406715
0.917,197.794281,1414.091431,-54.006313,283.686127,1110.863159,-139.014908,292.779785,887.821777,-29.515434
0.925,197.807068,1414.070068,-53.972095,283.665314,1110.872681,-139.075409,292.787781,887.808594,-29.623062
0.933,197.796265,1414.059937,-53.968555,283.658875,1110.885132,-139.140533,292.819122,887.80426,-29.718481
0.942,197.768753,1414.072144,-53.982677,283.628296,1110.896118,-139.202148,292.859283,887.805725,-29.81872
0.95,197.75235,1414.059937,-53.968506,283.639465,1110.889404,-139.260132,292.870026,887.798218,-29.910795
0.958,197.730743,1414.042603,-53.963303,283.618408,1110.902466,-139.310013,292.903564,887.798523,-30.004265
0.967,197.721863,1414.027588,-53.940434,283.641602,1110.908203,-139.356262,292.934662,887.800964,-30.104013
0.975,197.699478,1414.005859,-53.91703,283.631348,1110.928833,-139.388336,292.972046,887.808044,-30.18515
0.983,197.672226,1413.993408,-53.892052,283.655975,1110.944824,-139.424927,292.991974,887.80603,-30.260071
0.992,197.668442,1413.964111,-53.8554,283.664154,1110.963013,-139.453384,293.023926,887.807312,-30.315964
1,197.65155,1413.950073,-53.834538,283.694977,1110.974976,-139.503647,293.045197,887.791138,-30.380604
1.008,197.625427,1413.929565,-53.805115,283.715546,1110.995239,-139.540817,293.056,887.795837,-30.443468
1.017,197.609253,1413.930542,-53.744801,283.733704,1111.004517,-139.562027,293.073029,887.805054,-30.500399
1.025,197.601486,1413.928223,-53.730633,283.747803,1111.022827,-139.590561,293.08551,887.799988,-30.545498
1.033,197.596497,1413.920532,-53.69566,283.763428,1111.035645,-139.605591,293.107269,887.805115,-30.581068
1.042,197.576843,1413.913818,-53.679127,283.759247,1111.037598,-139.610229,293.128601,887.798035,-30.613613
1.05,197.563141,1413.911621,-53.659019,283.765717,1111.047729,-139.640015,293.137604,887.807068,-30.634661
1.058,197.550873,1413.907349,-53.637615,283.768646,1111.048828,-139.64447,293.146698,887.796936,-30.67144
1.067,197.533798,1413.899902,-53.605526,283.770569,1111.047485,-139.670624,293.145996,887.803223,-30.700466
1.075,197.514038,1413.889282,-53.574467,283.762238,1111.060669,-139.679062,293.151031,887.804688,-30.713936
1.083,197.500244,1413.879639,-53.541176,283.764221,1111.071289,-139.688156,293.158386,887.809814,-30.745003
1.092,197.477448,1413.876831,-53.499786,283.759308,1111.075073,-139.711136,293.161469,887.812256,-30.777969
1.1,197.467117,1413.868408,-53.468712,283.790771,1111.128662,-139.746567,293.160767,887.806824,-30.797537
1.108,197.443665,1413.853882,-53.438133,283.783783,1111.136963,-139.771774,293.176453,887.809814,-30.825327
1.117,197.446686,1413.842285,-53.402828,283.775055,1111.137695,-139.796417,293.179901,887.82074,-30.873508
1.125,197.456223,1413.846436,-53.368217,283.767395,1111.146362,-139.832184,293.180634,887.827209,-30.904215
1.133,197.472824,1413.843384,-53.309357,283.742554,1111.164062,-139.866409,293.17514,887.818665,-30.960213
1.142,197.500626,1413.831055,-53.257534,283.729523,1111.166016,-139.896423,293.182861,887.817261,-31.01771
1.15,197.519791,1413.824097,-53.178402,283.737854,1111.162476,-139.929977,293.164612,887.782227,-31.079504
1.158,197.540115,1413.78894,-53.084057,283.72821,1111.171021,-139.962723,293.147919,887.766235,-31.176878
1.167,197.567566,1413.768799,-52.982685,283.72525,1111.160645,-139.995895,293.127441,887.738647,-31.274799
1.175,197.592773,1413.720703,-52.852097,283.714539,1111.159424,-140.031967,293.112946,887.713989,-31.381134
1.183,197.600464,1413.679688,-52.729839,283.71283,1111.150391,-140.081223,293.079285,887.657471,-31.544224
1.192,197.62677,1413.636353,-52.616924,283.711761,1111.138672,-140.125671,293.068665,887.617126,-31.639997
1.2,197.648285,1413.577637,-52.483307,283.697571,1111.12207,-140.174698,293.038055,887.565125,-31.769745
1.208,197.68248,1413.508789,-52.342133,283.702789,1111.090454,-140.210556,293.031036,887.514771,-31.882837
1.217,197.713791,1413.469482,-52.203251,283.696381,1111.082153,-140.24762,292.999237,887.446228,-32.011261
1.225,197.753006,1413.403442,-52.052715,283.710571,1111.05603,-140.287079,292.990356,887.385864,-32.159054
1.233,197.784439,1413.330078,-51.827724,283.710327,1111.035156,-140.317001,292.974426,887.30127,-32.320896
1.242,197.826141,1413.259888,-51.656517,283.697571,1111.005127,-140.360092,292.93277,887.198364,-32.504353
1.25,197.891281,1413.17334,-51.437675,283.641907,1110.937744,-140.38858,292.892609,887.103394,-32.69043
1.258,197.954361,1413.09314,-51.239723,283.620941,1110.918945,-140.418152,292.888397,887.001892,-32.845844
1.267,197.997025,1413.028687,-51.009483,283.577667,1110.896973,-140.461212,292.88208,886.898926,-33.023148
1.275,198.02626,1412.950195,-50.78894,283.530457,1110.863403,-140.507248,292.89093,886.813904,-33.228157
1.283,198.069962,1412.875244,-50.532883,283.477875,1110.838989,-140.544922,292.864624,886.696045,-33.482876
1.292,198.117249,1412.780273,-50.238247,283.411438,1110.813599,-140.583221,292.865479,886.571594,-33.721619
1.3,198.149765,1412.678101,-49.970261,283.348755,1110.792969,-140.614349,292.870483,886.468262,-33.959999
1.308,198.133957,1412.561157,-49.600704,283.293488,1110.775513,-140.647324,292.8255,886.340576,-34.212955
1.317,198.168442,1412.442261,-49.242302,283.230804,1110.744629,-140.668747,292.820953,886.235229,-34.421661
1.325,198.204498,1412.310669,-48.832378,283.166962,1110.737305,-140.689133,292.817261,886.121155,-34.611038
1.333,198.218063,1412.193237,-48.449017,283.130585,1110.706177,-140.687088,292.834625,886.002991,-34.830593
1.342,198.28624,1412.04541,-48.028576,283.086456,1110.657349,-140.685699,292.842804,885.87738,-35.051346
1.35,198.295471,1411.867798,-47.500599,283.032593,1110.624512,-140.667435,292.850586,885.742676,-35.273609
1.358,198.357346,1411.718384,-46.976498,282.985077,1110.588379,-140.629578,292.87381,885.536255,-35.541008
1.367,198.411469,1411.550537,-46.366226,282.919769,1110.566895,-140.587936,292.917999,885.370789,-35.818077
1.375,198.464203,1411.352661,-45.717655,282.830444,1110.532959,-140.539062,292.972382,885.196655,-36.079365
1.383,198.511581,1411.139404,-45.005058,282.750977,1110.485474,-140.463348,293.049377,884.971375,-36.338657
1.392,198.556992,1410.921875,-44.281715,282.68515,1110.425903,-140.348999,293.120117,884.769043,-36.557949
1.4,198.575195,1410.69397,-43.432838,282.598145,1110.362549,-140.218216,293.173859,884.563599,-36.755825
1.408,198.611877,1410.469116,-42.571503,282.522888,1110.304688,-140.075089,293.241638,884.362427,-36.949921
1.417,198.664337,1410.199219,-41.588863,282.457458,1110.231934,-139.904007,293.283325,884.099854,-37.162807
1.425,198.69519,1409.937012,-40.484718,282.397156,1110.143433,-139.682739,293.316559,883.85614,-37.358418
1.433,198.768814,1409.736938,-39.475632,282.343384,1110.080933,-139.427582,293.322937,883.597778,-37.580856
1.442,198.799759,1409.441284,-38.33194,282.289612,1110.007935,-139.162872,293.357208,883.31665,-37.825802
1.45,198.564407,1408.665894,-37.693535,282.219238,1109.97168,-138.885605,293.396973,883.070251,-38.019825
1.458,198.6371,1408.322266,-36.496593,282.169403,1109.891968,-138.555191,293.439941,882.795349,-38.13356
1.467,198.647552,1407.984131,-35.262505,282.153442,1109.824585,-138.169601,293.474152,882.553162,-38.205048
1.475,198.623245,1407.633789,-33.950119,282.162109,1109.795776,-137.777542,293.507782,882.306885,-38.238728
1.483,198.647232,1407.320068,-32.579857,282.212311,1109.749512,-137.389587,293.516357,882.039673,-38.207092
1.492,198.750702,1406.921021,-31.110846,282.226898,1109.702515,-136.909058,293.493378,881.786926,-38.1362
1.5,198.742859,1406.477783,-29.558605,282.270538,1109.625854,-136.353104,293.4776,881.543091,-37.98156
1.508,198.700287,1406.048706,-27.94763,282.349823,1109.567871,-135.800354,293.427399,881.267273,-37.764336
1.517,198.615234,1405.595093,-26.402466,282.511261,1109.471191,-135.139816,293.379883,881.002502,-37.52998
1.525,198.640839,1405.115723,-24.72472,282.731873,1109.400269,-134.460434,293.339508,880.740112,-37.173229
1.533,198.588577,1404.560425,-22.937607,282.92276,1109.350586,-133.689728,293.317444,880.462158,-36.761692
1.542,198.514542,1404.011963,-21.039509,283.054871,1109.199097,-132.87796,293.271973,880.186584,-36.319996
1.55,198.425842,1403.470337,-19.225033,283.328278,1109.025146,-131.947968,293.270508,879.876648,-35.769787
1.558,198.363037,1402.902588,-17.351311,283.72467,1108.876221,-130.890396,293.247284,879.536438,-35.097355
1.567,198.280365,1402.195923,-15.292639,284.005768,1108.694824,-129.870392,293.289093,879.168884,-34.340809
1.575,198.170715,1401.573364,-13.316874,284.312988,1108.445679,-128.720856,293.460144,878.827332,-33.38271
1.583,198.044525,1400.934814,-11.337477,284.774384,1108.217285,-127.471909,293.514954,878.399841,-32.453457
1.592,197.926483,1400.144287,-9.118032,285.10144,1107.936157,-126.332687,293.64917,877.988953,-31.397264
1.6,197.765884,1399.484741,-7.064822,285.511536,1107.656372,-124.99617,293.764252,877.538757,-30.298758
1.608,197.645004,1398.679077,-4.861803,285.899261,1107.31311,-123.651779,293.917969,877.015137,-29.01951
1.617,197.406723,1397.832153,-2.557291,286.278351,1106.981934,-122.421593,294.148285,876.525452,-27.694471
1.625,197.210831,1396.982788,-0.342282,286.719604,1106.487793,-120.762482,294.248169,875.998169,-26.342983
1.633,196.989975,1396.050049,2.059122,286.916199,1105.913696,-118.293747,294.34845,875.386597,-24.87546
1.642,196.722931,1395.11438,4.384489,287.341095,1105.364136,-116.507675,294.532135,874.727539,-23.340757
1.65,196.42601,1394.069458,6.78244,287.654907,1104.83313,-114.833702,294.612183,874.041504,-21.746441
1.658,196.261169,1392.977783,9.196375,287.982025,1104.13562,-112.983414,294.715607,873.270813,-19.971836
1.667,195.876755,1391.891113,11.642924,288.342712,1103.36499,-111.108482,294.831787,872.4552,-18.152863
1.675,195.148041,1390.351196,14.092943,288.606628,1102.692139,-109.240265,294.889984,871.635315,-16.333452
1.683,194.782883,1389.21936,16.573324,288.923065,1101.828613,-107.20295,294.972412,870.785767,-14.511272
1.692,194.336472,1387.871338,19.106638,289.181122,1101.040283,-105.319473,295.118683,869.878601,-12.560772
1.7,193.992615,1386.56958,21.603426,289.557251,1100.103271,-103.203201,295.111481,868.948792,-10.651933
1.708,193.493225,1385.130615,24.128262,289.7836,1099.160522,-101.189728,295.078613,867.887756,-8.69621
1.717,193.080475,1383.73877,26.708326,290.180328,1098.223145,-99.026955,295.112701,866.901367,-6.675622
1.725,192.701462,1382.336548,29.223326,290.337219,1097.14917,-96.911766,295.061066,865.77063,-4.669946
1.733,192.279449,1380.745728,31.745911,291.413544,1096.30835,-95.002548,294.964813,864.707214,-2.645139
1.742,191.833038,1379.327271,34.373749,291.341736,1095.121826,-92.850204,294.925385,863.446777,-0.376486
1.75,191.360428,1377.709229,36.990246,291.609161,1093.894653,-90.529762,294.855591,862.302979,1.712391
1.758,190.925003,1376.006836,39.439838,291.757996,1092.626221,-88.333725,294.76059,861.011169,3.81612
1.767,190.437286,1374.52356,41.793129,291.825043,1091.31189,-85.809189,294.631073,859.745605,6.145238
1.775,189.904373,1372.831299,44.187031,291.850006,1090.008179,-83.661964,294.427673,858.261597,8.351569
1.783,189.374969,1371.01709,46.519299,291.948242,1088.561401,-81.166435,294.374115,856.872986,10.491283
1.792,188.853104,1369.462646,48.670097,291.924683,1087.049316,-78.925591,294.194519,855.349609,12.862066
1.8,188.346008,1367.781372,50.862232,292.022064,1085.599854,-76.628052,293.989716,853.901428,15.152611
